JE SUIS REEL,,,,,,ГАЙД НА ВСЁ,,,,,,,,,,,,v0.5.1,,,,,"by OLEXIRje
Carehowname
PolterSyroed"
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
АКТУАЛЬНЫЙ ИВЕНТ:,,,,,,,,,,,,,,,,,,,,Сезонные боссы,,,
,,,,,,,,,,,,,,,,,,ОС,,,,,Meta
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Оставшееся время
                        (Дни / часы / минуты)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1,,,:16:40,,,,,,,,,,,,,,,Осталось дней:,,,,,Осталось дней:
,,,,,,,,,,,,,,,,,,21,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Discord,,,,,,,,,,,,,,,,,,,,,,,
,,,,,(всё добровольно),,,,,,,,,,,,,,,,,,